,Title,Link,Authors,Venue,Year,Study Period (per user),Study Period (per user) - DAYS,# Sessions (per user),# Sessions (per user) - INTEGER,Session Length (per session),Session Length (per session) - MINUTES,"Total average est. Minutes per person. INTEGER. If range, take midpoint to estimate.",# Participants (with full data),# Participants (with full data) - INTEGER,HRI Type (detailed),HRI Type,Domain (detailed),Domain,Subdomain,Robot Used,Primary Robot Feature(s),Country,Location (detailed),Location,Age (detailed),Age group (detailed),Age group,Qualitative Data (Y/N),"Quantitative (separable conditions, Y/N)","Quantitative (by user type, Y/N)",Data Collection for Machine Learning (Y/N),Statistical Significances Found (detailed),Statistical Significances Found (Y/N),Conditions (detailed),Conditions (Y/N),Behavioral Variation (detailed),Behavioral Variation (Y/N),Adaptation + Personalization (detailed),Adaptation + Personalization (Y/N),User modeling by robot (detailed),User modeling by robot (Y/N),WoZ / Autonomous / Hybrid (detailed),WoZ / Autonomous / Hybrid,Main results,Measure Engag.? (with robot) - detailed,"Measure Engag.? (with robot, Y/N)",Engagement Measures + Results (detailed),Engagement Measures Type,Novelty Effect measures or mentioned? (Y/N),Novelty Comments/Methods,Incentivization (detailed),Comments
KM,Robot therapy at facilities for the elderly in Kanagawa prefecture - A report on the experimental result of the first week,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6628404,K. Wada; Y. Takasawa; T. Shibata,RO-MAN,2013,1 week,7,unknown,unknown,unknown,unknown,unknown,83 but only 80 with full data,80,Diadic,Diadic,Health and Wellness,Mental/Cognitive Health,Dimensia,Paro,paro interactions,Japan,Senior Home,Care Home,86.2 +/- 7.3,Seniors,Elderly (above 65),Y,N,Y,N,No,N,No,N,Yes,Y,"Yes, uses RL based on pos/neg types of inputs from users",Y,No,N,Autonomous,Autonomous,"""Twenty-three out of the 80 subjects reacted positively
during the interaction period with PARO. In particular, seven
subjects with anxiety and irritation, two subjects with
aggression, and two subjects with depression calmed down""",No,N,N/A,None,N,,Unknown (unlikely directly to participant though),
KM,Children's adaptation in multi-session interaction with a humanoid robot,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6343778,M. Nalin; I. Baroni; I. Kruijff-Korbayová; L. Cañamero; M. Lewis; A. Beck; H. Cuayáhuitl; A. Sanna,RO-MAN,2012,3-6 weeks ,35,3,3,Unknown,unknown,unknown,"19 recruited, only 13 did all three interactions",13,Diadic,Diadic,General HRI,General Purpose,CHRI,NAO,"3 games: dance, imitation, and quiz",Italy,Hospital,Hospital,5-12,Children,Children (3-12),Y,N,Y,N,No,N,No,N,Sort of -- children can choose different games,Y,Not in between sessions,N,No,N,Hybrid,Hybrid,Children adapt their behavior to be more in line with the robot,Yes,Y,Length of interaction (since could stop at any time),"Time-Based (time to respond, length of interactions)",N,,Told helping train a robot for kids in the hospital -- could affect engagement,
KM,The Persistence of First Impressions: The Effect of Repeated Interactions on the Perception of a Social Robot,https://dl.acm.org/doi/pdf/10.1145/3319502.3374786?casa_token=PL5769dRAZQAAAAA:pL-UecScUZZS2Smy9pVXV5w-ndeZ2w7PJbcyyGZpBnVIDajZRKD57D1Vai8y59ljcZms8W9bVu6x,"Maike Paetzel, Giulia Perugia, Ginevra Castellano",HRI,2020,unknown,13,3,3,"3 sessions, 3-10 days in between",14,42,40,40,Diadic,Diadic,Entertainment,General Purpose,Novelty Effect and chatting,Furhat,,Sweden,Lab,Lab,Master's Students,Other,Adults (18+),N,Y,Y,N,Yes,Y,"robot appearance: human, robot, hybrid",Y,"While the game interaction was the same across sessions (apart
from different target countries), the topic of the pre- and post-game
interaction changed. The robot remembered facts from previous
sessions, and asked follow-up questions.",Y,Yes -- remembered facts from last time,Y,"Personality traits, NARS",Y,Autonomous,Autonomous,"The authors found that perceptions of a robot are influenced by both its initial appearance and its interactions over time, but in different ways (see results). Also they didn't find any meaningful different in the time difference (3 vs. 10 days) between sessions.",No,N,N/A,None,,,,
NS,A Conversational Robot in an Elderly Care Center: an Ethnographic Study,https://dl.acm.org/doi/pdf/10.1145/1957656.1957669?casa_token=KWJdWPib0FoAAAAA:a8ZvfFqWx5ALVOL0PBTHBIrQwoW25oFU3JuUy1o7zp2f8hqDaSNyevvagd0b959fkXcjQUong3UH,"Alessandra Maria Sabelli, Takayuki Kanda, Norihiro Hagita",HRI,2011,3.5 months,105,15-32 session,23,"1 hour session, but only some talked to the robot for 10-20 minutes",60,1380,55,55,Group,Group,Health and Wellness / Entertainment,General Purpose,daily greeting and chatting,Robovie2,,Japan,care home,Care Home,average 83.4,Seniors,Elderly (above 65),Y,N,N,N,no,N,no,N,,Y,,Y,No,N,,WoZ,"Through the ethnographic approach, we clarified how the elderly people interacted with this conversational robot, how the deployment process adopted to introduce the robot was designed, and how the organization’s personnel involved themselves in this deployment.",no,N,,None,,,,
NS,A Robotic Positive Psychology Coach to Improve College Students’ Wellbeing,https://ieeexplore.ieee.org/iel7/9219088/9223329/09223588.pdf?casa_token=j1zVLt7M_lMAAAAA:UA-rHEobJQKkrtA6WzR7rFAPSCJSMZF61rXAN3K12qIREdsiclPOzvW8HZCB0Ku_IkK86-HmtQ,"Sooyeon Jeong, Sharifa Alghowinem, Laura Aymerich-Franch, Kika Arias, Agata Lapedriza, Rosalind Picard, Hae Won Park and Cynthia Breazeal",RO-MAN,2020,12 days,12,7,7,3-6 mins,4.5,31,35,35,Diadic,Diadic,Health & Wellness,Mental/Cognitive Health,psychological wellbeing,Jibo,,USA,Home,Home,College Students,College Students,Adults (18+),Y,N,Y,N,Yes,Y,Single,N,,Y,,N,No,N,,Autonomous,"psychological wellbeing significanly increased

participants mood increased

participants reported feeling more ready to change healty psych behaviors",,N,,None,,,,
NS,A Social Robot for Improving Interruptions Tolerance and Employability in Adults with ASD,https://ieeexplore.ieee.org/iel7/9889327/9889305/09889383.pdf?casa_token=bejgYaLjIgwAAAAA:SmaaeUNvnRSlTFg0H26Zeg_za5BHeJWH6-KyEJ_A4PatS1dqNO9EOiqQ4RGIaMDQcsLQ4k_Wng,"Rebecca Ramnauth, Emmanuel Aden´ ´ıran, Timothy Adamson, Michal A. Lewkowicz, Rohit Giridharan, Caroline Reiner, Brian Scassellati",HRI,2022,1 week,7,multiple times a day,73,does not state. But probably around 1 minute,unknown,unknown,10,10,Diadic,Diadic,Education,ASD,interruptions training for adults with ASD,Jibo,,USA,home,Home,20 to 42,Adults,Adults (18+),Y,N,Y,N,yes,Y,No,N,,Y,,N,No,N,Autonomous,Autonomous,"Results show that users enjoy training with ISTAR, improve their ability to handle various work-relevant interruptions, and view the system as a valuable tool for improving their employment prospects.",No,N,,None,,,,
NS,A two-month field trial in an elementary school for long-term human-robot interaction,https://ieeexplore.ieee.org/iel5/8860/4339520/04339534.pdf?casa_token=Pf8MoOT4HWEAAAAA:1mb-Y_cFM9FHPvHwR9Q_1oD1BOASKaU2Vs87OuKSojBULi-ZPHe76-MzI3ymrMfIf81KgZ0epg,"Takayuki Kanda, Rumi Sato, Naoki Saiwaki, and Hiroshi Ishiguro",Transactions on Robotics (T-RO),2007,9 weeks,32,,unknown,varied,unknown,unknown,37,37,Diadic and Group,Mixed,Entertainment,Entertainment/Game-Play,,Robovie,,Japan,"Elementary School, classroom",School,10-11,Children,Children (3-12),Y,N,Y,Y,yes,Y,No,N,,Y,,Y,Modeled friendships between kids,Y,No,Autonomous,it demonstrated reasonable performance in identifying friendships among children,yes,Y,Number of times children played with the robot,"Count-Based (number of interactions, games, acitivites, etc.)",,,,
NS,As Time Goes by: Long-term Evaluation of Social Presence in Robotic Companions,https://ieeexplore.ieee.org/iel5/5306517/5326035/05326256.pdf?casa_token=R94t-cjoE70AAAAA:2H2UMS8bCrlsPcmJGS_URFht1mzx9gibv5yTc8JOLYDVZbJW126ZGe0Q7zJMQ7lJIBWDz6dcnQ,"Iolanda Leite, Carlos Martinho, André Pereira and Ana Paiva",RO-MAN,2009,5 weeks,35,5,5,,12,60,5,5,Diadic,Diadic,Education,Education,chess,iCat,,Portugal,chess school,Other,5-15,Children,Children (3-12),Y,N,Y,N,No,N,x,N,,Y,,Y,models the users moves,Y,No,Autonomous,identified possible key issues that should be considered when designing social robots for long-term interactions,No,N,"* Do not have stat sign results, but discuss novelty effect througout the paper",None,,,,
NS,Assistive Technologies and Child-Robot Interaction,https://aaai.org/papers/0011-assistive-technologies-and-child-robot-interaction/,"F. Michaud, T. Salter, A. Duquette, H. Mercier, M. Lauria, H. Larouche, F. Larose",AAAI ,2007,7 weeks,49,3 times per week,22,5 minutes,5,110,"2 with robot, 2 with human",2,Group,Group,Education,ASD,ASD,Puppet,,Canada,readaption center,Rehabilitation Facility,5,Children,Children (3-12),Y,N,N,N,no,N,human vs puppet,Y,,Y,,N,No,N,yes,WoZ,,,Y,"""The other notable difference from this study and all those preceding it was that there
was an increased level of interest and engagement from the
children, based on the experimenter’s observations.""",Behavioral Observations,,,,
NS,Building Successful Long Child-Robot Interactions in a Learning Context,https://ieeexplore.ieee.org/iel7/7446754/7451718/07451758.pdf?casa_token=KNzhCOQxHzIAAAAA:V59vRytjV5N_W-CAM31VjgpZr6S4_yMQY8bu7-tuYxZndKcY09kCe77z1aVhMZYnWERjTjz52w,"Alexis Jacq , Severin Lemaignan , Fernando Garcia, Pierre Dillenbourg, Ana Paiva",HRI,2016,4-5 weeks,19,3-4 sessions,3.5,1 hour,60,210,"1,1,6",8,Diadic,Diadic,Education,Education,teach handwriting,NAO,,Switzerland,occupational therapist,Rehabilitation Facility,5-7,Children,Children (3-12),Y,N,Y,N,No,N,No,N,,Y,,Y,Yes,Y,No,Autonomous,design study,,Y,""" In our context of HumanRobot-Interaction, we can make distinction between tree kind
of engagement : social engagement, task engagement and
social-task engagement [6]. Along this paper, we focus on the
persistence of the “proteg´ e effect”: we aim to play with the ´
children’s perception of the robot in order to create motivation.
In that way, we base our observations and results on metrics
of social-task engagement.""

""We measured the commitment of the child with the number
of demonstration he provided. We also measured the duration
of sessions. During the two last sessions, we recorded the time
taken by the child to write each demonstration.""",Multiple,,,,
NS,Employing Humanoid Robots for Teaching English Language in Iranian Junior High-Schools,https://www.academia.edu/download/34709814/Rall_paper_in_robotic_journalPDF.pdf,"Minoo Alemi, Ali Meghdari",International Journal of Humanoid Robotics (IJHR),2014,5 weeks,35,10,10,1 hour,60,600,"16 in non-robot, and 30 in robot",30,Group,Group,Education,Education,English as a second language (EFL),NAO,,Iran,Classroom,School,12,Children,Children (3-12),N,Y,N,N,Yes,Y,robot vs no-robot. Not perfectly controlled.,Y,,Y,,N,No,N,No,Autonomous,"
* Robot higher gain and retention than non-robot
* teacher reporter more positive reaction to robot group",,N,,None,,,,
NS,How to Train Your DragonBot: Socially Assistive Robots for Teaching Children About Nutrition Through Play,https://ieeexplore.ieee.org/iel7/6919203/6926219/06926371.pdf?casa_token=5LEaLlEcSbsAAAAA:6U4OnyRQHKgCzz1w0V1qM-sJ4rs8yCz5HdCXxvfPO8nrwa_JzvuwhvZ_Jla3yDT5m55GqNiS2Q,"Elaine Short, Katelyn Swift-Spong, Jillian Greczek, Aditi Ramachandran, Alexandru Litoiu, Elena Corina Grigore, David Feil-Seifer, Samuel Shuster, Jin Joo Lee, Shaobo Huang, Svetlana Levonisova, Sarah Litz, Jamy Li, Gisele Ragusa, Donna Spruijt-Metz, Maja Mataric , and Brian Scassellati",RO-MAN,2014,3 weeks,21,6,6,5-10 mins,8,45,26,26,Diadic,Diadic,Education,Physical Health,nutrition,DragonBot,,USA,School - a small parent-teacher conference room,School,1st grade (5-8),Children,Children (3-12),N,N,Y,N,Yes,Y,no,N,,Y,,N,No,N,Yes,WoZ,"We find that children demonstrate a high level of enjoyment when interacting with the robot, and a statistically significant increase in engagement with the system over the duration of the interaction. We also find evidence of relationship-building between the child and robot, and encouraging trends towards child learning.",Yes,Y,"* decrease in their response time to the robot’s verbal questions
* We find that children demonstrate a high level of enjoyment when interacting with the robot, and a statistically significant increase in engagement with the system over the duration of the interaction. 
","Time-Based (time to respond, length of interactions)",,,,
NS,"Improving social skills in children with ASD using  a long-term, in-home social robot",https://www.science.org/doi/full/10.1126/scirobotics.aat7544?casa_token=SJkoIxf3FhsAAAAA:XLXWZWrbjRJLJmp-ADAV-HKhp7PCco9gDK77NgNrAkYOfdFs5hmSkKuLw5RMSu8hOX2215gPSx0Lng,"Brian Scassellati, Laura Boccanfuso, Chien-Ming Huang, Marilena Mademtzi,  Meiying Qin, Nicole Salomons, Pamela Ventola, Frederick Shic",Science Robotics ,2018,1 month,30,30,23,30 minutes,28,28,12,12,Triadic,Triadic,Education,ASD,social skills training,Jibo,,USA,home,Home,6-12,Children,Children (3-12),Y,N,Y,N,yes,Y,Within,Y,,Y,,Y,Yes,Y,No,Autonomous,"The system maintained engagement over the 1-month deployment, and children showed improvement on joint attention skills with adults when not in the presence of the robot. These results were also consistent with caregiver questionnaires. Caregivers reported less prompting over time and overall increased communication.",Kinda,Y,"Just that they continued with the interaction over time, and participated in the sessions",Drop Out Rate (from sessions or free use),,,,
NS,Interactive Robots as Social Partners and Peer Tutors for Children: A Field Trial,https://core.ac.uk/download/pdf/204780848.pdf,"Takayuki Kanda, Takayuki Hirano, Daniel Eaton, Hiroshi Ishiguro",HCI ,2004,2 weeks,14,9,9,12.5 in first week and 2.7 in second week (average),8,72,119 1st grade and 109 sixth grade,228,Group,Group,Education ,Education,English as 2nd language,Robovie,,Japan,elementary school,School,1st and 6th graders,Children,Children (3-12),Y,N,Y,N,yes,Y,No,N,,Y,,N,no - just recognized 50 english words,N,autonomous,Autonomous,"Interaction with the robot was frequent in the 1st week, and then it fell off sharply by the 2nd week. Nonetheless, some children continued to interact with the robot. Interaction time during the 2nd week predicted improvements in English skill at the posttest, controlling for pretest scores. Further analyses indicate that the robots may have been more successful in establishing common ground and influence when the children already had some initial proficiency or interest in English.",kinda,Y,"Just checked whether participants interacted with the robot.
""Using wireless identification tags and sensors,
these robots identified and interacted with children who came near them.""
Interaction with the robot was frequent in the 1st week, and then it fell off sharply by the 2nd week.","Count-Based (number of interactions, games, acitivites, etc.)",,,,
NS,Lessons Learned from the Deployment of a Longterm Autonomous Robot as Companion in Physical Therapy for Older Adults with Dementia,https://ieeexplore.ieee.org/iel7/7446754/7451718/07451730.pdf?casa_token=UX3xRjkVBPUAAAAA:4uJkVdQhfk7jot89OcQ7FE66A8uwR9k8QuojmuX85b7LUPNAcCClPB4rjoyYzm47MBHu7Kq03w,"Denise Hebesberger, Tobias Koertner, Christoph Gisinger, Juergen Pripfl, Christian Dondrup",HRI,2016,1 month,30,3-4 sessions per group? 7 sessions per group?  - 45mins a session,7,45,45,315,2 groups (10 total),10,Group,Group,Health & Wellness,Physical Health,walking companion,SCITOS G5,,Austria,outside,Care Home,74-95,Seniors,Elderly (above 65),Y,N,Y,N,no,N,x,N,,Y,,Y,adjusted speed to quick walkers,Y,autonomous,Autonomous,"Findings suggest that a robot has the potential to enhance motivation, group coherence and also mood within the walking group. Furthermore, older adults show curiosity and openness towards the robot.",no,N,,None,,,,
NS,Long-term evaluation of a social robot in real homes,https://www.researchgate.net/profile/Maartje-De-Graaf-2/publication/312654034_Long-term_evaluation_of_a_social_robot_in_real_homes/links/5a030f990f7e9b3d401f6759/Long-term-evaluation-of-a-social-robot-in-real-homes.pdf,"Maartje M.A. de Graaf, Somaya Ben Allouch and Jan A.G.M. van Dijk",Interaction Studies,2016,<6 months,unknown,,unknown,varied,unknown,unknown,102,102,Diadic and Group,Mixed,Home Use,General Purpose,provides information,Karotz,,Netherlands,Home,Home,8-77,General,Mixed,N,N,Y,N,Yes,Y,No,N,,Y,,N,No,N,No,Autonomous,We observed a mere-exposure effect which causes people to evaluate a novel stimuli more positively when they gain experience and get familiar with it.,,N,not measured directly,None,,,,
NS,Long-Term Human-Robot Interaction: The Personal Exploration Rover and Museum Docents,https://kilthub.cmu.edu/articles/journal_contribution/Long-Term_Human-Robot_Interaction_The_Personal_Exploration_Rover_and_Museum_Docents/6555443/1/files/12037676.pdf,"Kristen Stubbs, Debra Bernstein, Kevin Crowley, and Illah Nourbakhsh",International Journal of Artificial Intelligence in Education (IJAIED),2005,3.5 months,105,,unknown,varied,unknown,unknown,11,11,Observer,Observer,Education,Education,Museum Employees,Personal Exploration Rover (PER),,USA,museum,Museum,employees,Other,Adults (18+),N,N,Y,N,"yes, within",Y,x,N,,unclear,,N,No,N,unclear,Autonomous,Results of the study suggest that these critical factors include how people experience successes and failures with the robot (as opposed to how they understand its capabilities) and how people anthropomorphize the robot and talk about anthropomorphization.,no,N,,None,,,,
NS,Motivate to learn: Effects of performance adaptation on child motivation of robot interaction,https://www.academia.edu/download/45559636/Motivating_Children_to_Learn_Arithmetic_20160511-77605-1r3gypv.pdf,"Joris B. Janssen, Chrissy C. van der Wal, and Mark Neerincx",ICSR,2011,2 weeks,14,3,3,20 minutes,20,60,20,20,Diadic,Diadic,Education,Education,arithmetic,NAO,,Netherlands,elementary school - not classroom,School,9-10y,Children,Children (3-12),N,Y,Y,N,Yes,Y,Adaptive to performance vs non adpative,Y,,Y,,Y,Not really. Changed based on answer correct/incorrect,N,Yes,WoZ,Results from the free-choice period showed that motivation of children that interacted with the adaptive robot was significantly higher compared to the nonadaptive robot.,Yes,Y,"* Intrinsic Motivation Inventory
* No sig results regarding motivation
* The children that interacted with the adaptive robot continued to play, on average, the same amount of time with the robot during the freechoice period, whereas the children that interacted with the non-adaptive robot displayed, on average, a decline in the amount of time spend with the robot
during the free-choice period.","Time-Based (time to respond, length of interactions)",,,,Only 3 sessions
NS,Personalized Robot Tutoring Using the Assistive Tutor POMDP (AT-POMDP),https://ojs.aaai.org/index.php/AAAI/article/download/4807/4685,"Aditi Ramachandran, Sarah Strohkorb Sebo, Brian Scassellati",AAAI ,2019,3 weeks,21,5,5,15 minutes,15,75,28,28,Diadic,Diadic,Education,Education,long division,NAO,,USA,school,School,4th grade (around 9 years old),Children,Children (3-12),Y,Y,N,N,yes,Y,personalized action policy vs fixed,Y,,Y,,Y,yes,Y,No,Autonomous,Students who received help from a robot using the AT-POMDP policy demonstrated significantly greater learning gains than students who received help from a robot with a fixed help action selection policy.,Yes,Y,"* There are two engagement levels: low and high. High engagement is marked by the students’ attention being focused on the math problem at hand, making honest attempts at the problems. Low engagement is marked by either rapid guessing on problems without knowing the correct answer or boredom and off-task behavior.
*No direct engagement results. Used for the policy 
:""From this data set, we retrieved timing and
accuracy data of students doing math problems with a robot
tutor as well as their engagement during the math tutoring
sessions by annotating low (bored, blind guessing) and high
engagement (focused) in the video files.""
","Model from Sensors (CV, audio, etc.)",,,,
NS,Robot education peers in a situated primary school study: Personalisation promotes child learning,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0178126,"Paul Baxter, Emily Ashurst, Robin Read, James Kennedy, Tony Belpaeme",Plos One,2017,2 weeks,14,199 interaction total for 59 kids,3,5mins,5,5,16.85,59,Diadic,Diadic,Education,Education,"times-tables, stone age animals",NAO,,UK,classroom,School,7-8,Children,Children (3-12),N,Y,Y,N,yes,Y,personalized vs non-personalized,Y,,Y,,Y,yes (skills),Y,autonomous,Autonomous,"there was increased child learning of a novel subject exhibited when interacting with a robot that personalised its behaviours, with indications that this benefit extended to other class-based performance",No,N,"Authors claim engagement results without direct proof: ""Taken together, these results indicate a high level of continued engagement with the robot (...) this is sustained somewhat more in the P condition than in the NP condition.

""It is also of interest to examine the relationship between the performance levels, responses, and questionnaire answers.""",Multiple,,,,
NS,Robot Therapy follow up - Living With Seal Robots—Its Sociopsychological and Physiological Influences on the Elderly at a Care House,https://ieeexplore.ieee.org/iel5/8860/4339520/04339551.pdf?casa_token=fycbp3AtmucAAAAA:8kBajADv_gJeOz-Y3BRI6rV8nmWObH4weUOf16UrH-Drnd6uOXdtUYAl6xyaAcEdRdnFmA_uiA,Kazuyoshi Wada and Takanori Shibata,Transactions on Robotics (T-RO),2007,52 days,52,,unknown,varied,unknown,unknown,12,12,Group,Group,Health and Wellness,Mental/Cognitive Health,eldery / company,Paro,,Japan,care house,Care Home,67-89,Seniors,Elderly (above 65),Y,N,Y,N,yes,Y,x,N,,Y,,N,no,N,autonomous,Autonomous,density of the social networks was increased; urinary tests show less stress,no,N,,None,,,,
NS,Robot Therapy in a Care House - Its Sociopsychological and Physiological Effects on the Residents,https://ieeexplore.ieee.org/iel5/10932/34383/01642310.pdf?casa_token=ftcZsWsPtHYAAAAA:ODBv9HXWirHc0x_rHBOdh93lhTKP0hAWPO0_i-9HsSgCON-4VU-XcBpbxMuOyKNb5_uO5jFwkg,"Kazuyoshi Wada, Takanori Shibata",ICRA,2006,52 days,52,,unknown,varied,unknown,unknown,12,12,Group,Group,Health and Wellness,Mental/Cognitive Health,eldery / company,Paro,,Japan,care house,Care Home,67-89,Seniors,Elderly (above 65),Y,N,Y,N,yes,Y,x,N,,Y,,N,no,N,autonomous,Autonomous,density of the social networks was increased; urinary tests show less stress,no,N,,None,,,,
NS,Robotic assistants in therapy and education of children with autism: can a small humanoid robot help encourage social interaction skills?,https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s10209-005-0116-3&casa_token=yxFkmDsS1xcAAAAA:X5v6U35ESvpVw6rd279GdqMgILZ2bj3CLOPacrrdJOwPOo3WXfRPupmdUi6mJRlHI9NK9PxEHoT-c9Q8,"B. Robins, K. Dautenhahn, R. te Boekhorst, and A. Billard",Universal Access in the Information Society (UAIS),2005,1+ month,180,9 trials on average,9,average 3 mins,3,27,4 with ASD,4,Diadic,Diadic,Education,ASD,ASD,Robota,,UK,primary school,School,5-10,Children,Children (3-12),Y,N,Y,N,no,N,x,N,,Y,,N,no,N,no,WoZ,The quantitative analysis showed an increase in duration of pre-defined behaviours towards the later trials.,dont think so,N,,None,,,,
NS,Robots at Home: Understanding Long-Term Human-Robot Interaction,https://ieeexplore.ieee.org/iel5/4637508/4650570/04651113.pdf?casa_token=WdUImw2HZBsAAAAA:SfZwd7UcAtiEFvv7HM4kN9j0NrakiKvmXhlAfkkvCG1V18_oTWpaVYjuB0HlDLqhTwcUZ4Ll_A,Cory D. Kidd and Cynthia Breazeal,IROS ,2008,6 weeks,42,50.6,51,5 minutes,5,253,"45 total, 15 in robot",15,Diadic,Diadic,Health and Wellness,Physical Health,weight loss,custom,,USA,home,Home,18-72y,General,Mixed,N,Y,Y,N,yes,Y,robot vs computer vs paper,Y,,Y,,Y,Calculated relationship state,Y,No,Autonomous,Results show that participants track their calorie consumption and exercise for nearly twice as long when using the robot than with the other methods and develop a closer relationship with the robot.,No,N,,None,,,,
NS,Robots Moving out of the Laboratory - Detecting Interaction Levels and Human Contact in Noisy School Environments,http://uhra.herts.ac.uk/bitstream/handle/2299/1894/902081.pdf?sequence=1&isAllowed=y,"Tamie Salter, Kerstin Dautenhahn & Rene te Boekhorst",IROS ,2004,unknown,unknown,,5,5,5,25,8,8,Diadic,Diadic,Education,ASD,children with ASD,unknown,,UK,schools dining room,School,5-8 years old,Children,Children (3-12),Y,N,N,N,no,N,x,N,,Y,,N,no,N,autonomous,Autonomous,,not really,N,"However after three trials all the children
had clearly lost interest in the robot; they either did
not interact with the robot at all, or diverted their
interest away from the robot (such as speaking to the
experimenter) even if still touching the robot",None,,,,
NS,Sharing a Life with Harvey: Exploring the Acceptance of and Relationship-Building with a Social Robot,https://www.sciencedirect.com/science/article/pii/S0747563214005536?casa_token=i18qIyTRjLMAAAAA:55W3b3pRUOCUyoSZRkfQKb_woqV4z5AuMKgBX44zGqAWaNUNLMUIYfizDdJizrwnCgDl1anqQA,"Maartje M.A. de Graaf, Somaya Ben Allouch, & Jan A.G.M. van Dijk",Computers in Human Behavior,2015,1 month,30,22,22,daily,unknown,unknown,6,6,Diadic,Diadic,Health and Wellness,Physical Health,exercise,Karotz,,Netherlands,home,Home,50+,Seniors,Elderly (above 65),Y,N,N,N,no,N,x,N,,Y,,N,no,N,autonomous,Autonomous,in-depth understanding of the factors that influence the acceptance of and relationship-building with social robots in domestic environments. T,no,N,,None,,,,
NS,Sociable Robot Improves Toddler Vocabulary Skills,https://dl.acm.org/doi/pdf/10.1145/1514095.1514189?casa_token=DXedAl3rtcwAAAAA:6TVvSNfrK6l-BV38Kn_A1wFPUpqo2i1-m1Q-PMMCtKnVY-oO6EZ16KTBISveLcEIi0N6xBMLBVYD,"Javier R. Movellan, Micah Eckhardt, Marjo Virnes, Angelica Rodriguez",HRI,2009,12 days,12,12,12,,unknown,unknown,9,9,Diadic,Diadic,Education,Education,word learning,Custom,,USA,Early Education,Day Care,15 to 23 months,Other,Infants/Toddlers (0-3),N,N,Y,N,yes,Y,None. Within (control words vs taught words),N,,Y,,N,No,N,Autonomous,Autonomous,The results showed a 27 % improvement in knowledge of the target words taught by the robot when compared to a matched set of control words.,No,N,,None,,,,Short Paper
NS,Social and collaborative aspects of interaction with a service robot,https://www.sciencedirect.com/science/article/pii/S0921889002003779?casa_token=Vr8g_34IYwAAAAAA:qR16skyAv8HhUGNHBgBGpOhlnWlWOjF-22fz9LJSU4ZnVs4X_jGeHha9eQqaVO4Ph8ftYuSJEQ,"Kerstin Severinson Eklundh, Anders Green, Helge Huttenrauch",Robotics and Autonomous Systems (RAS),2003,3 months,90,,unknown,daily during workday,unknown,6480,1,1,Diadic,Diadic,Health and Wellness,General Purpose,fetch and delivary,Custom,,Sweden,office,Office,middle aged female,Other,Adults (18+),Y,N,Y,N,x,N,x,N,,Y,,N,No,N,mostly autonomous,Hybrid,"Finally, we discuss experiences from a recent usage study, and research issues emerging from this work. A conclusion is that addressing only the primary user in service robotics is unsatisfactory, and that the focus should be on the setting, activities and social interactions of the group of people where the robot is to be used.",no,N,,None,,,,
NS,Socialization between toddlers and robots at an early childhood education center,https://www.pnas.org/doi/full/10.1073/pnas.0707769104,"Fumihide Tanaka, Aaron Cicourel, and Javier R. Movellan",PNAS ,2007,5+ months,150,45,45,50,50,2250,11 participants,11,Group,Group,Entertainment,Entertainment/Game-Play,,QRIO,,USA,early childhood center,Day Care,18-24months,Toddlers,Infants/Toddlers (0-3),Y,N,Y,N,kinds,Y,toy bear and robot. Not carefully controlled,Y,,Y,,N,no,N,"operator, (could be overwritten by robot)",Hybrid,Results indicate that current robot technology is surprisingly close to achieving autonomous bonding and socialization with human toddlers for sustained periods of time and that it could have great potential in educational settings assisting teachers and enriching the classroom environment.,kinda,Y,"Rather than losinginterest, the interaction between children and the robot im-proved over time. Children exhibited a variety of social andcare-taking behaviors toward the robot and progressively treatedit more as a peer than as a toy.

""One of our goals was to establish whether it is possible for social robots to maintain the interest of children beyond the 10-h barrier. To achieve this goal, we had to develop and evaluate a wide variety of quantitative methods. We found that continuous audience response methods, originally used for marketing research (22), were particularly useful. Fifteen sessions were randomly selected from the 45 field sessions and independently coded frame-by-frame by five UCSD undergraduate students who were uninformed of the purpose of the study.""",Recordings Annotations/Labeling,,,,
NS,"Toward Effective Robot–Child Tutoring: Internal Motivation, Behavioral Intervention, and Learning Outcomes",https://dl.acm.org/doi/pdf/10.1145/3213768,"ADITI RAMACHANDRAN, CHIEN-MING HUANG, BRIAN SCASSELLATI",Interactive Intelligent Systems (TiiS),2019,around 2 weeks,14,4,4,,unknown,unknown,29,29,Diadic,Diadic,Education,Education,Math - Fractions,NAO,,USA,School,School,11,Children,Children (3-12),N,Y,Y,N,Yes,Y,Shape Productive Help-seeking behaviors vs Control,Y,,Y,,Y,Yes,Y,No,Autonomous,"adaptive shaping strategies from the robot targeting suboptimal help requests, reduced their suboptimal behaviors over time significantly more than a control group, as well as improved their scores from pretest to posttest significantly more than a control group.",,N,"""However, given other related work investigating the use of sensor-based approaches to understand information about the user (such as attention through EEG [70], or engagement through
facial-feature detection [28, 41]), future work should leverage these channels of information to
understand how these richer features relate to a student’s motivation in learning as well""",None,,,,
